names,scores,logfoldchanges,pvals,pvals_adj,log2fc,actual_fold_change
COLGALT2,20.605566,1.836658,2.4464092792476754e-94,2.4097131400589607e-92,2.6497374,6.2755303
PRKCB,20.334858,1.8955939,6.322186840524461e-92,6.079083703680484e-90,2.7347639,6.6565003
GMFG,20.190804,1.1776398,1.1793037993803458e-90,1.0948548031718452e-88,1.6989752,3.2467022
ARHGEF6,20.17352,2.2635381,1.6730017423180618e-90,1.5355494400798848e-88,3.2655952,9.617055
DOPEY2,20.142954,2.612933,3.1027191531801715e-90,2.7845180666929163e-88,3.7696652,13.638994
LTB,20.088198,3.2598634,9.359711899191193e-90,8.30751571535904e-88,4.7029886,26.045977
ATG16L2,20.07001,3.5413196,1.349815893517024e-89,1.172307846444839e-87,5.109044,34.512432
PGD,20.06714,1.1232053,1.4300015095260785e-89,1.2287364034512911e-87,1.6204427,3.0746934
FAM101B,20.003424,1.9588751,5.141901212508678e-89,4.371698536150799e-87,2.8260593,7.091345
IRF2BP2,19.97951,1.5534698,8.303735309330241e-89,6.98638230140212e-87,2.241183,4.7278466
SLC16A3,19.968073,3.033915,1.0440331714730109e-88,8.604750944885213e-87,4.377014,20.77842
SH3BGRL3,19.914402,0.9491064,3.0527270358384e-88,2.4656876268466757e-86,1.369271,2.5834
LCP1,19.645523,0.707762,6.314343972191782e-86,4.9039381022493295e-84,1.0210848,2.0294442
AP001171.1,19.509968,1.0825132,9.034003610952395e-85,6.883740298647405e-83,1.5617365,2.9520895
ITGB2-AS1,19.353157,3.6844923,1.9172868770706906e-83,1.4472828136542028e-81,5.315599,39.8249
ID3,19.338799,1.9007611,2.5331039997395337e-83,1.8944334264718714e-81,2.7422187,6.6909847
LINC01094,19.329775,2.4575334,3.017270966944578e-83,2.23582546789095e-81,3.5454712,11.675974
COL9A2,19.02501,2.69291,1.0587048410536614e-80,7.567397346186215e-79,3.885048,14.774607
LIMD2,19.009256,0.81525075,1.4296333159761752e-80,1.0129077450122428e-78,1.1761582,2.2597423
DSCR8,18.755384,0.6094119,1.7495015027538543e-78,1.2287585771950332e-76,0.8791955,1.8393494
SELPLG,18.622208,2.2699845,2.122787037843094e-77,1.453029737682938e-75,3.2748954,9.679251
BTG1,18.504875,1.1291785,1.886173080129252e-76,1.2695516640169973e-74,1.6290603,3.0931144
APOBR,18.420525,1.8618801,8.992839298577157e-76,5.953701886443254e-74,2.686125,6.4358253
ID1,18.16856,1.5379908,9.157081022477162e-74,5.778261204574065e-72,2.2188518,4.6552277
DBI,18.00726,0.61297524,1.70884031014725e-72,1.0536109301572015e-70,0.88433635,1.8459152
ORAI3,17.883053,1.8329315,1.5983795537890011e-71,9.563045671076861e-70,2.6443613,6.252188
NKG7,17.716894,1.82086,3.105910757703735e-70,1.8311270941586182e-68,2.6269457,6.177169
RASGRP2,17.649958,1.7690233,1.0183374106069832e-69,5.8750794753375736e-68,2.5521612,5.865122
ZFP36L2,17.61841,1.4843949,1.7793497535028025e-69,1.0120991520452207e-67,2.141529,4.412295
METTL9,17.583815,0.8816897,3.277626400850395e-69,1.8512859048719326e-67,1.2720094,2.4149768
KCNE3,17.522734,2.4857402,9.609364081806929e-69,5.3160844992297644e-67,3.586165,12.010006
LYZ,17.447525,1.7013505,3.5947978481723557e-68,1.9751824639243617e-66,2.4545298,5.4813447
YPEL3,17.275873,1.7756318,7.14826537242994e-67,3.901117527913285e-65,2.561695,5.90401
TNNT1,17.242895,0.545509,1.2653781700149425e-66,6.813639652807127e-65,0.7870031,1.7254864
CD52,17.193577,2.0312438,2.966517169786359e-66,1.5867919986996306e-64,2.9304655,7.6235623
COMMD6,16.960396,0.5689869,1.6125676058323973e-64,8.140442845192671e-63,0.8208746,1.7664764
IKZF2,16.929535,2.6617615,2.7252555812089583e-64,1.3504226582469177e-62,3.84011,14.321495
LRMP,16.771017,1.8920581,3.976453237961656e-63,1.946534109273715e-61,2.729663,6.6330056
RP11-598F7.3,16.388142,2.6993005,2.3244435298655002e-60,1.0728303080413512e-58,3.8942676,14.869328
CREG1,16.375536,0.95487,2.85981062386309e-60,1.3124255914171693e-58,1.3775862,2.5983326
BRI3,16.336967,0.90864027,5.38668975585205e-60,2.4580956586450286e-58,1.3108908,2.4809468
RP11-620J15.3,16.110523,0.86545974,2.151925375877797e-58,9.710112436293277e-57,1.2485945,2.3760984
ALAS1,15.986203,1.8198665,1.594569482016639e-57,6.999640057743693e-56,2.6255124,6.1710343
CNN2,15.923034,0.9548429,4.3858883858994217e-57,1.914855161778899e-55,1.3775471,2.5982625
PLP2,15.821946,1.0725975,2.195997513359162e-56,9.434612720958486e-55,1.5474311,2.9229617
ITM2B,15.644488,0.7820813,3.622712520105143e-55,1.477810556812588e-53,1.1283048,2.1860173
UGP2,15.631851,1.0013617,4.4178127143547485e-55,1.784133664692165e-53,1.4446596,2.7219858
ARPC5,15.563746,0.68504226,1.2836055512861937e-54,5.132515860266627e-53,0.98830706,1.9838556
ADGRE2,15.49575,2.8124027,3.7060829255579444e-54,1.467354499496643e-52,4.0574393,16.649876
NPAS1,15.423433,2.2920425,1.1388531118128957e-53,4.422363742361903e-52,3.3067183,9.895127
ANKRD28,15.152619,1.2266243,7.280615059047099e-52,2.6370191852880456e-50,1.7696447,3.4096994
CITED2,15.085857,1.0398155,2.006497408927443e-51,7.235035523172748e-50,1.5001367,2.828695
RP11-467L13.7,15.084427,1.7499238,2.0504721758649247e-51,7.360739450871553e-50,2.5246065,5.7541637
NCKAP1L,14.955233,1.3958759,1.4397824562403306e-50,5.100492499584715e-49,2.0138233,4.0385103
FCGR2A,14.776732,1.4496737,2.069671845060328e-49,7.113506167043518e-48,2.091437,4.2617235
LGALS1,14.75707,1.0397351,2.7705903993151257e-49,9.402545653474063e-48,1.5000206,2.8284676
NEAT1,14.709216,0.5969877,5.625498228224502e-49,1.8775681483210454e-47,0.8612712,1.8166382
IL17RA,14.6858015,2.0074036,7.948923907060537e-49,2.6421176295196688e-47,2.8960712,7.4439645
ABRACL,14.668333,0.6079091,1.0284005300406324e-48,3.4042586398107325e-47,0.8770274,1.8365873
CCPG1,14.461704,1.4504671,2.1149429959648137e-47,6.698978266042275e-46,2.0925817,4.265106
TRIM38,14.322791,1.4173448,1.5766141007399679e-46,4.935779880494853e-45,2.0447962,4.12615
THEMIS2,14.071452,1.7939692,5.688881472652598e-45,1.7145184945751879e-43,2.5881505,6.013273
IGFBP2,14.065138,0.7673016,6.220111301312762e-45,1.8607347770630807e-43,1.1069822,2.1539462
TMEM154,14.034937,1.7470325,9.528067664500562e-45,2.8293456811092295e-43,2.520435,5.737551
FNDC3B,13.982679,1.7410864,1.9885799071184793e-44,5.861956171458379e-43,2.5118566,5.7035356
PRSS57,13.979885,0.6343989,2.068216886713348e-44,6.0745410159940775e-43,0.9152441,1.8858881
BHLHE40,13.941227,1.3251971,3.5577184256149624e-44,1.0299531083760593e-42,1.9118552,3.7629268
TKT,13.935668,0.67085,3.8458343443097767e-44,1.109385857106788e-42,0.9678319,1.9558991
PRTN3,13.736014,2.2227278,6.17843810955545e-43,1.714888130958054e-41,3.2067184,9.23248
ARHGAP25,13.715537,2.4763424,8.195769454844646e-43,2.267028420780144e-41,3.572607,11.897669
PLD3,13.651308,0.9993137,1.9828668796663707e-42,5.410681009143674e-41,1.441705,2.716417
RCSD1,13.626532,1.050004,2.7850502320360418e-42,7.523361446205722e-41,1.5148356,2.8576622
CD68,13.587768,2.4320655,4.732993874284711e-42,1.2700462299866315e-40,3.5087287,11.382368
CCL3L3,13.586596,2.4215326,4.809373376693961e-42,1.2862685021045404e-40,3.4935331,11.263108
GPSM3,13.529537,0.56938195,1.0468116986696276e-41,2.763103951030909e-40,0.8214445,1.7671746
TUBA1A,13.272774,1.4726026,3.330233318229004e-40,8.353507612216045e-39,2.1245165,4.360569
PTPN6,13.194446,2.342186,9.4446797741442e-40,2.3257523943830096e-38,3.37906,10.403955
ACTR2,13.153207,0.6050282,1.631082299965692e-39,3.9681481135008714e-38,0.8728712,1.8313038
AAK1,12.953532,1.0263205,2.2438639737947262e-38,5.2838744362507295e-37,1.4806675,2.790778
TRIM56,12.949918,0.9120709,2.352066052649687e-38,5.522569042805675e-37,1.3158401,2.4894724
MYB,12.886316,0.82358646,5.375053234710527e-38,1.2511327082638883e-36,1.1881841,2.2786577
ADRBK2,12.858039,1.8397447,7.751883733590839e-38,1.7940391093470833e-36,2.6541905,6.2949305
ARHGAP9,12.839375,2.052366,9.86689550168896e-38,2.2769975704897638e-36,2.9609382,7.7863026
RAB27A,12.832769,0.94994587,1.0745385262942088e-37,2.4726631558057906e-36,1.3704822,2.5855696
MYH9,12.721922,1.2948778,4.467368076054898e-37,1.0079031271032239e-35,1.8681138,3.65055
CNTRL,12.5827,1.2306904,2.6288809429028906e-36,5.801494911428046e-35,1.7755109,3.4235926
SLC26A2,12.370746,1.7257035,3.7631136990547197e-35,8.062246511210867e-34,2.4896638,5.6164703
TLE4,12.363734,1.3381385,4.106288686577036e-35,8.774204688222942e-34,1.9305257,3.8119407
MARC2,12.287004,1.9238466,1.063752495137439e-34,2.2258883168976926e-33,2.775524,6.8472466
RNASET2,12.220949,0.8615416,2.4026337863018137e-34,4.9887077357223e-33,1.2429419,2.3668067
FST,12.161185,2.0917513,5.002732640597291e-34,1.0307926412781714e-32,3.0177593,8.099087
PTPN7,12.093466,0.6082231,1.1435863305300309e-33,2.3149741332559046e-32,0.87748045,1.837164
LCP2,12.027935,1.5020096,2.5342051711964645e-33,5.041570238363015e-32,2.166942,4.4907045
P4HB,12.00453,0.5068754,3.363687985660662e-33,6.658948004946364e-32,0.7312666,1.660096
CD37,11.98399,1.61703,4.310655054498924e-33,8.49199045736288e-32,2.3328812,5.038105
GNAI2,11.977228,0.76260024,4.67701445301227e-33,9.1913006659319e-32,1.1001996,2.1438434
TAPBP,11.934337,1.0179996,7.838135727284608e-33,1.532896422984934e-31,1.4686631,2.767653
PLD1,11.892557,2.1643615,1.2938312321454613e-32,2.494099012419783e-31,3.1225135,8.70904
PPP1R18,11.880906,0.5418574,1.4874673489835232e-32,2.8469843075213076e-31,0.781735,1.7191972
CYTIP,11.745977,2.041191,7.406124116500928e-32,1.3976463665649067e-30,2.9448164,7.6997747
SPN,11.741899,0.5216471,7.772149001556264e-32,1.45651154258863e-30,0.75257766,1.6848004
CLU,11.729,0.5385386,9.052123423327688e-32,1.6822871058939034e-30,0.7769469,1.7135009
CPD,11.700972,1.2643455,1.2600280159084693e-31,2.3130105192028875e-30,1.824065,3.5407743
RAB31,11.640723,0.79596996,2.5583824287591064e-31,4.6645722070174496e-30,1.1483419,2.21659
FMNL1,11.611411,1.1574134,3.606131984644249e-31,6.51604654138067e-30,1.6697946,3.1816928
CD53,11.556671,0.8501859,6.830589354293267e-31,1.228745439078546e-29,1.2265589,2.3400817
ACAA1,11.4281225,0.8964019,3.0257905773270805e-30,5.31289358545018e-29,1.2932346,2.450769
HOTAIRM1,11.397361,0.93948644,4.309887333262113e-30,7.502362066973726e-29,1.3553925,2.558667
